Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio
5/1/2022,25.6062,18.9755,6.7113,18.5937,13.1903,2.0331,12.7863,25.2459,13.8493,0.7374,26.7129,25.2743,6.9577
4/1/2022,28.361,21.2562,7.4333,18.2857,13.0325,1.9994,12.5745,23.0884,12.5955,0.7258,26.6003,25.7005,6.9207
3/1/2022,27.373,20.3939,7.2226,17.9183,12.485,1.9142,10.2202,20.955,11.6426,0.6587,26.7032,25.7915,6.9475
2/1/2022,28.9744,21.6234,7.6451,19.5359,13.2437,2.087,11.1428,21.676,11.995,0.6814,26.1755,25.2547,6.8102
1/1/2022,29.4369,22.099,7.7671,19.5491,13.25,2.0884,11.1504,22.9303,12.4286,0.71,25.4033,24.5936,6.6093
12/1/2021,29.4822,22.1069,7.5546,21.8327,13.6853,1.8592,7.5738,22.2868,12.1751,0.69,22.293,20.4032,5.98
11/1/2021,26.7177,19.9919,6.8462,22.2785,14.3092,1.8972,7.7284,23.6799,12.8501,0.7332,23.9591,21.7562,6.4269
10/1/2021,25.2373,19.005,6.4669,24.7414,15.3962,2.1069,8.5828,22.4806,11.8975,0.6938,23.2929,21.6157,6.2027
9/1/2021,29.814,21.8972,7.3642,21.9353,14.2465,1.9739,7.8608,23.8871,12.6206,0.7372,24.9976,23.0074,6.6566
8/1/2021,28.6418,21.0108,7.0746,22.0322,14.291,1.9826,7.8955,22.9919,12.1936,0.7096,25.3173,23.2683,6.7417
7/1/2021,26.8941,19.8831,6.6429,22.9122,14.6626,2.0618,8.2108,23.7515,12.52,0.7082,27.1381,24.6162,6.959
6/1/2021,28.0639,19.8479,6.4967,19.3554,13.7514,1.8963,7.5818,23.9216,12.6459,0.7132,27.7299,25.084,7.1108
5/1/2021,29.6066,20.9842,6.8539,19.1049,13.6234,1.8718,7.4837,23.5646,12.4767,0.7026,27.0729,24.5646,6.9423
4/1/2021,27.5099,19.5618,6.3685,17.9442,13.0309,1.758,7.029,25.0272,12.9007,0.6876,27.0502,24.934,6.8574
3/1/2021,32.8942,22.7158,7.0595,14.1488,12.5501,1.4671,6.4938,23.9382,12.4538,0.6576,25.1412,23.4121,6.3734
2/1/2021,35.7968,24.806,7.6825,14.1702,12.5388,1.4693,6.5036,25.8858,13.3412,0.7111,24.7101,23.0141,6.2641
1/1/2021,35.9948,25.2786,7.725,14.9756,13.0189,1.5528,6.8733,26.6527,13.6762,0.7441,28.1433,25.7436,7.1345
12/1/2020,36.5278,24.9002,7.5369,10.6387,10.5798,1.3977,7.9031,28.2502,14.4104,0.7887,26.677,24.4909,6.6139
11/1/2020,33.4013,22.693,6.8918,9.6172,9.9021,1.2635,7.1442,25.6543,13.2479,0.7163,24.8468,23.031,6.1602
10/1/2020,35.5337,24.347,7.3318,10.4794,10.4704,1.3768,7.7847,26.7608,13.4563,0.7318,25.5241,23.5618,6.3281
9/1/2020,39.1942,26.8037,8.2889,10.2514,10.6938,1.3847,8.2044,26.558,13.3601,0.7263,25.4237,23.2425,6.1843
8/1/2020,32.2751,21.9137,6.8256,10.2207,10.6725,1.3805,8.1798,24.7505,12.5685,0.6768,24.2482,22.3168,5.8983
7/1/2020,27.7008,18.9496,5.8583,10.0402,10.5268,1.3562,8.0354,24.048,11.9483,0.6363,22.9342,21.2797,5.5787
6/1/2020,24.9032,16.7878,5.281,9.2019,10.6671,1.3823,8.7377,24.9073,12.3117,0.659,21.5042,20.1379,5.3741
5/1/2020,23.0124,15.5964,4.8801,9.2505,10.7042,1.3897,8.7839,24.4033,12.1022,0.6457,21.1403,19.847,5.2832
4/1/2020,19.9177,13.3707,4.2238,8.1726,9.886,1.2277,7.7604,23.0426,11.4435,0.6179,20.3848,19.2375,5.0944
3/1/2020,21.5812,13.8921,4.6143,9.5283,9.9586,1.4297,8.8379,21.8379,10.9674,0.5856,25.0378,22.614,6.1368
2/1/2020,24.4351,15.8793,5.2245,10.5224,10.6222,1.5788,9.76,23.219,11.5319,0.6226,27.3361,24.3856,6.7001
1/1/2020,23.183,15.2575,4.9568,9.813,10.134,1.4724,9.102,23.9128,11.6867,0.6535,25.9084,23.2687,6.3502
12/1/2019,22.5242,14.2476,4.7513,9.3565,9.8701,1.4838,8.8398,23.9631,11.7313,0.6549,25.136,23.4621,6.3344
11/1/2019,20.9659,13.1733,4.4226,9.3064,9.8339,1.4759,8.7925,23.5949,11.582,0.6449,25.6208,23.8579,6.4566
10/1/2019,18.8765,11.9554,3.9819,10.1199,10.4237,1.6049,9.5611,24.2699,11.6166,0.6611,25.6255,23.8204,6.4578
9/1/2019,17.7743,10.9889,3.7893,8.9825,7.8914,1.4917,8.7116,23.3661,11.2911,0.6364,25.6358,23.9135,6.6544
8/1/2019,18.1405,11.2427,3.8673,9.8248,8.5002,1.6316,9.5285,22.5726,10.9743,0.6148,24.5133,23.0026,6.3631
7/1/2019,16.853,10.5618,3.5928,9.1395,8.0107,1.5178,8.8639,22.5134,10.9839,0.6232,23.7169,22.3116,6.1563
6/1/2019,14.7417,8.9564,3.2286,8.8662,7.5243,1.3938,8.8609,20.6694,10.2818,0.5722,23.1771,22.249,6.033
5/1/2019,16.8973,10.7755,3.7007,9.7934,8.142,1.5396,9.7876,20.9547,10.3965,0.5801,23.1441,22.2219,6.0244
4/1/2019,15.9946,10.122,3.503,9.8513,8.2045,1.5487,9.8455,19.8323,10.2181,0.5551,22.1062,21.4089,5.7543
3/1/2019,14.2566,8.6283,3.2077,9.1459,9.0341,1.5113,10.1501,20.1292,10.4543,0.5634,21.3294,21.8812,5.6298
2/1/2019,13.7041,8.2304,3.0834,8.9003,8.9886,1.4707,9.8774,19.4866,10.173,0.5455,22.6419,22.9578,5.9763
1/1/2019,12.9878,7.7743,2.9222,7.5264,7.8575,1.2437,8.3527,19.2549,10.5199,0.5359,22.275,22.6335,5.8794
12/1/2018,15.0919,8.8607,3.3413,8.3771,8.3165,1.3559,8.2069,20.185,10.9415,0.5618,24.1616,24.2967,6.1665
11/1/2018,18.496,11.4236,4.095,7.7812,7.8365,1.2595,7.6231,20.7287,11.2639,0.5769,22.9535,23.2217,5.8582
