Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio,AAPL_returns,IBM_returns,WMT_returns,KO_returns
2022-09-01,25.9439,19.042,6.6265,16.0845,12.8961,1.9352,14.0813,21.9091,12.2305,0.6225,25.2146,25.6282,6.4601,0.10955132997071182,0.16395933349885117,0.09737834210445562,0.07615770745154782
2022-08-01,26.8168,19.6982,6.8495,16.3775,13.0644,1.9704,14.3378,21.8264,12.1909,0.6201,26.2197,26.5402,6.7176,-0.11975605341287154,-0.06339496309621262,-0.017239673172095404,-0.09220545715123885
2022-07-01,22.5611,16.6199,5.7625,17.6798,13.7705,2.1271,15.4779,20.0627,11.3404,0.586,26.01,24.6801,6.7747,-0.032551805998339844,-0.0178912761013853,0.0037864796299487136,-0.03833557122817166
2022-06-01,24.1753,17.884,6.3362,19.5261,13.664,2.135,13.4275,21.2261,11.9349,0.62,26.2044,24.8444,6.8253,0.18863377593008956,-0.07365963865035208,0.08611610649317947,0.0273982640752104
2022-05-01,25.6062,18.9755,6.7113,18.5937,13.1903,2.0331,12.7863,25.2459,13.8493,0.7374,26.7129,25.2743,6.9577,-0.0800802506046685,0.0292619689361322,-0.05137255061195023,-0.007415697560118506
2022-04-01,28.361,21.2562,7.4333,18.2857,13.0325,1.9994,12.5745,23.0884,12.5955,0.7258,26.6003,25.7005,6.9207,-0.05588322793801803,0.050147382220337544,-0.15922614059720352,-0.019037312312345733
2022-03-01,27.373,20.3939,7.2226,17.9183,12.485,1.9142,10.2202,20.955,11.6426,0.6587,26.7032,25.7915,6.9475,-0.09713064406004457,0.016843550097718873,0.03130350227556211,0.05007387285581255
2022-02-01,28.9744,21.6234,7.6451,19.5359,13.2437,2.087,11.1428,21.676,11.995,0.6814,26.1755,25.2547,6.8102,0.05882059566634412,0.07408494570261359,0.10180540948385497,-0.003856096155867794
2022-01-01,29.4369,22.099,7.7671,19.5491,13.25,2.0884,11.1504,22.9303,12.4286,0.71,25.4033,24.5936,6.6093,-0.05526951514116296,-0.08280304324015186,-0.033259536327517214,0.020160723686520665
2021-12-01,29.4822,22.1069,7.5546,21.8327,13.6853,1.8592,7.5738,22.2868,12.1751,0.69,22.293,20.4032,5.98,-0.015712236373521482,-0.0006733672814526193,-0.029836775481634104,0.030400251384029353
2021-11-01,26.7177,19.9919,6.8462,22.2785,14.3092,1.8972,7.7284,23.6799,12.8501,0.7332,23.9591,21.7562,6.4269,0.07579667824018732,0.1566490082706231,0.02887012743274231,0.13763891971835962
2021-10-01,25.2373,19.005,6.4669,24.7414,15.3962,2.1069,8.5828,22.4806,11.8975,0.6938,23.2929,21.6157,6.2027,0.10347107489428464,-0.020890489250469102,-0.05882732575294436,-0.06954059049474581
2021-09-01,29.814,21.8972,7.3642,21.9353,14.2465,1.9739,7.8608,23.8871,12.6206,0.7372,24.9976,23.0074,6.6566,0.05865721364130749,-0.09954639042637015,0.07203328033313983,0.08243631143880625
2021-08-01,28.6418,21.0108,7.0746,22.0322,14.291,1.9826,7.8955,22.9919,12.1936,0.7096,25.3173,23.2683,6.7417,-0.0666401190361059,0.0013501037812020389,-0.0554160979056757,-0.06819401775741962
2021-07-01,26.8941,19.8831,6.6429,22.9122,14.6626,2.0618,8.2108,23.7515,12.52,0.7082,27.1381,24.6162,6.959,0.04092974677152594,-0.004398562390373839,0.03893372676548301,-0.012624645895068176
2021-06-01,28.0639,19.8479,6.4967,19.3554,13.7514,1.8963,7.5818,23.9216,12.6459,0.7132,27.7299,25.084,7.1108,0.06498219381996018,-0.03840637898892241,0.010849572665875495,0.061905563986114576
2021-05-01,29.6066,20.9842,6.8539,19.1049,13.6234,1.8718,7.4837,23.5646,12.4767,0.7026,27.0729,24.5646,6.9423,0.10097639551723958,0.03122207188917847,-0.0032119422697493016,-0.021342017174420524
2021-04-01,27.5099,19.5618,6.3685,17.9442,13.0309,1.758,7.029,25.0272,12.9007,0.6876,27.0502,24.934,6.8574,-0.05210725403616023,0.01310979468857365,0.015152654894135864,0.024268276813816714
2021-03-01,32.8942,22.7158,7.0595,14.1488,12.5501,1.4671,6.4938,23.9382,12.4538,0.6576,25.1412,23.4121,6.3734,0.0762177369000765,0.0646855686239054,0.034338127361252635,0.03261814123036988
2021-02-01,35.7968,24.806,7.6825,14.1702,12.5388,1.4693,6.5036,25.8858,13.3412,0.7111,24.7101,23.0141,6.2641,0.008845037602412287,0.1354640067709556,0.04548939868432944,0.07593390824028545
2021-01-01,35.9948,25.2786,7.725,14.9756,13.0189,1.5528,6.8733,26.6527,13.6762,0.7441,28.1433,25.7436,7.1345,-0.08108503448660787,-0.0015112016254013039,-0.07523668371369607,0.017445382478006533
